Filename,X_Model,Y_Model,X_Refined,Y_Refined,X_True,Y_True,Refined_Pixel_Dist,Refined_mm_Dist
014EZU5V_lower_right,817,342,820,344,820.0,344.0,0.0,0.0
014EZU5V_upper_left,785,289,785,283,785.0,283.0,0.0,0.0
014EZU5V_upper_right,792,288,791,285,791.0,285.0,0.0,0.0
014JJ942_lower_left,782,307,784,313,784.0,313.0,0.0,0.0
014JJ942_lower_right,781,303,778,306,778.0,306.0,0.0,0.0
014JJ942_upper_left,768,278,771,278,770.0,278.0,1.0,0.08
014JJ942_upper_right,775,272,776,273,776.0,273.0,0.0,0.0
014WKP6A_lower_left,826,360,827,361,827.0,361.0,0.0,0.0
014WKP6A_lower_right,832,361,830,362,830.0,362.0,0.0,0.0
014WKP6A_upper_left,788,278,788,277,788.0,277.0,0.0,0.0
014WKP6A_upper_right,783,279,785,284,785.0,284.0,0.0,0.0
014ZTUSK_lower_left,818,350,816,351,816.0,351.0,0.0,0.0
014ZTUSK_lower_right,816,351,815,351,815.0,351.0,0.0,0.0
014ZTUSK_upper_left,760,254,756,255,757.0,255.0,1.0,0.08
014ZTUSK_upper_right,768,249,767,251,767.0,251.0,0.0,0.0
0158T9ED_lower_left,822,348,826,350,826.0,350.0,0.0,0.0
0158T9ED_lower_right,826,349,830,351,830.0,351.0,0.0,0.0
0158T9ED_upper_left,804,255,800,255,800.0,255.0,0.0,0.0
0158T9ED_upper_right,800,252,798,255,798.0,255.0,0.0,0.0
015DUP26_lower_left,738,355,738,356,738.0,356.0,0.0,0.0
015DUP26_lower_right,734,356,736,356,736.0,356.0,0.0,0.0
015DUP26_upper_left,727,285,730,285,730.0,285.0,0.0,0.0
015DUP26_upper_right,725,283,725,284,725.0,284.0,0.0,0.0
015DXGZH_lower_left,774,314,772,306,772.0,306.0,0.0,0.0
015DXGZH_lower_right,774,313,773,306,773.0,306.0,0.0,0.0
015DXGZH_upper_left,731,262,731,260,731.0,260.0,0.0,0.0
015DXGZH_upper_right,759,270,760,274,760.0,274.0,0.0,0.0
015KFJV6_lower_left,818,313,818,320,818.0,320.0,0.0,0.0
015KFJV6_lower_right,816,331,818,324,818.0,324.0,0.0,0.0
015KFJV6_upper_left,799,294,798,298,798.0,298.0,0.0,0.0
015KFJV6_upper_right,801,303,802,303,802.0,303.0,0.0,0.0
015RM178_lower_left,837,334,836,333,836.0,333.0,0.0,0.0
015RM178_lower_right,830,332,829,333,829.0,333.0,0.0,0.0
015RM178_upper_left,776,310,774,303,774.0,303.0,0.0,0.0
015RM178_upper_right,789,305,790,307,790.0,307.0,0.0,0.0
015SUFFX_lower_left,804,333,799,334,799.0,334.0,0.0,0.0
015SUFFX_lower_right,799,333,800,334,800.0,334.0,0.0,0.0
015SUFFX_upper_left,748,285,747,288,747.0,288.0,0.0,0.0
015SUFFX_upper_right,754,288,755,291,755.0,291.0,0.0,0.0
015WW8D6_lower_left,787,379,786,379,786.0,379.0,0.0,0.0
015WW8D6_lower_right,774,369,769,368,779.0,371.0,10.44030650891055,0.835224520712844
015WW8D6_upper_left,735,263,728,259,729.0,259.0,1.0,0.08
015WW8D6_upper_right,717,256,718,255,718.0,255.0,0.0,0.0
015WXFRN_lower_left,827,350,822,344,839.0,361.0,24.041630560342615,1.9233304448274091
015WXFRN_lower_right,818,343,822,344,822.0,344.0,0.0,0.0
015WXFRN_upper_left,777,298,781,299,790.0,304.0,10.295630140987,0.8236504112789601
015WXFRN_upper_right,788,296,786,297,786.0,297.0,0.0,0.0
0169NHT6_lower_left,847,346,849,349,849.0,349.0,0.0,0.0
0169NHT6_lower_right,849,347,850,348,850.0,348.0,0.0,0.0
0169NHT6_upper_left,828,281,830,283,830.0,283.0,0.0,0.0
0169NHT6_upper_right,827,281,826,280,826.0,280.0,0.0,0.0
016XWJ8X_lower_left,798,328,798,335,809.0,342.0,13.038404810405298,1.043072384832424
016XWJ8X_lower_right,797,339,799,339,808.0,346.0,11.40175425099138,0.9121403400793103
016XWJ8X_upper_left,823,330,818,329,818.0,329.0,0.0,0.0
016XWJ8X_upper_right,834,328,834,326,834.0,326.0,0.0,0.0
0171X5EV_lower_left,789,343,791,343,791.0,343.0,0.0,0.0
0171X5EV_lower_right,791,345,790,345,790.0,345.0,0.0,0.0
0171X5EV_upper_left,792,282,793,281,793.0,281.0,0.0,0.0
0171X5EV_upper_right,788,282,788,279,788.0,279.0,0.0,0.0
017UYAW4_lower_left,802,337,803,338,803.0,338.0,0.0,0.0
017UYAW4_lower_right,802,336,808,337,808.0,337.0,0.0,0.0
017UYAW4_upper_left,779,281,776,280,776.0,280.0,0.0,0.0
017UYAW4_upper_right,775,284,773,285,773.0,285.0,0.0,0.0
0191WKPV_lower_left,766,333,766,325,766.0,325.0,0.0,0.0
0191WKPV_lower_right,761,333,758,330,758.0,330.0,0.0,0.0
0191WKPV_upper_left,774,299,778,303,778.0,303.0,0.0,0.0
0191WKPV_upper_right,770,299,770,301,770.0,301.0,0.0,0.0
019P6PZD_lower_left,834,351,834,352,834.0,352.0,0.0,0.0
019P6PZD_lower_right,827,347,828,347,828.0,347.0,0.0,0.0
019P6PZD_upper_left,799,261,796,262,796.0,262.0,0.0,0.0
019P6PZD_upper_right,796,259,796,258,796.0,258.0,0.0,0.0
01KRCSKD_lower_left,843,330,843,330,843.0,330.0,0.0,0.0
01KRCSKD_lower_right,846,330,846,329,846.0,329.0,0.0,0.0
01KRCSKD_upper_left,834,309,832,312,832.0,312.0,0.0,0.0
01KRCSKD_upper_right,812,311,811,304,812.0,304.0,1.0,0.08
01MAVHYZ_lower_left,776,361,780,361,780.0,361.0,0.0,0.0
01MAVHYZ_lower_right,780,362,784,362,784.0,362.0,0.0,0.0
01MAVHYZ_upper_left,818,311,822,311,822.0,311.0,0.0,0.0
01MAVHYZ_upper_right,823,314,820,313,820.0,313.0,0.0,0.0
1419YTY4_lower_left,762,416,763,416,763.0,416.0,0.0,0.0
1419YTY4_lower_right,749,407,740,409,740.0,409.0,0.0,0.0
1419YTY4_upper_left,819,369,823,371,823.0,371.0,0.0,0.0
1419YTY4_upper_right,813,369,816,370,816.0,370.0,0.0,0.0
3JCUF41E_lower_left,822,307,825,307,825.0,307.0,0.0,0.0
3JCUF41E_lower_right,820,307,822,307,811.0,308.0,11.045361017187261,0.8836288813749809
3JCUF41E_upper_left,759,285,759,284,759.0,284.0,0.0,0.0
3JCUF41E_upper_right,774,290,775,291,775.0,291.0,0.0,0.0
45UD35GC_lower_left,814,328,805,323,822.0,330.0,18.384776310850235,1.4707821048680187
45UD35GC_lower_right,803,322,803,322,803.0,322.0,0.0,0.0
45UD35GC_upper_left,791,261,791,263,791.0,263.0,0.0,0.0
45UD35GC_upper_right,800,266,798,269,798.0,269.0,0.0,0.0
4J24X0ES_lower_left,836,481,831,481,831.0,481.0,0.0,0.0
4J24X0ES_lower_right,829,479,820,478,819.0,478.0,1.0,0.08
4J24X0ES_upper_left,823,395,826,396,826.0,396.0,0.0,0.0
4J24X0ES_upper_right,823,395,826,395,826.0,395.0,0.0,0.0
50O9GUWT_lower_left,775,303,775,299,775.0,299.0,0.0,0.0
50O9GUWT_lower_right,772,289,774,294,775.0,294.0,1.0,0.08
50O9GUWT_upper_left,805,256,808,252,808.0,252.0,0.0,0.0
50O9GUWT_upper_right,804,251,807,252,807.0,252.0,0.0,0.0
56R9FBMK_lower_left,797,331,799,332,799.0,332.0,0.0,0.0
56R9FBMK_lower_right,804,332,803,330,803.0,330.0,0.0,0.0
56R9FBMK_upper_left,840,270,832,270,833.0,270.0,1.0,0.08
56R9FBMK_upper_right,836,266,833,265,833.0,265.0,0.0,0.0
5LP835GA_lower_left,767,381,769,376,769.0,376.0,0.0,0.0
5LP835GA_lower_right,776,377,779,376,779.0,376.0,0.0,0.0
5LP835GA_upper_left,805,386,804,387,804.0,387.0,0.0,0.0
5LP835GA_upper_right,801,384,801,385,801.0,385.0,0.0,0.0
5SD5BWLR_lower_left,794,361,795,361,795.0,361.0,0.0,0.0
5SD5BWLR_lower_right,796,360,793,360,801.0,362.0,8.246211251235321,0.6596969000988258
5SD5BWLR_upper_left,781,287,781,287,781.0,287.0,0.0,0.0
5SD5BWLR_upper_right,782,287,781,288,781.0,288.0,0.0,0.0
6BWQC0CT_lower_left,799,310,800,311,800.0,311.0,0.0,0.0
6BWQC0CT_lower_right,801,311,802,310,802.0,310.0,0.0,0.0
6BWQC0CT_upper_left,765,270,767,273,767.0,273.0,0.0,0.0
6BWQC0CT_upper_right,768,273,766,275,766.0,275.0,0.0,0.0
6TZ254SP_lower_left,815,362,821,363,821.0,363.0,0.0,0.0
6TZ254SP_lower_right,818,361,809,362,821.0,363.0,12.041594578792296,0.9633275663033837
6TZ254SP_upper_left,773,296,774,299,774.0,299.0,0.0,0.0
6TZ254SP_upper_right,776,296,774,295,774.0,295.0,0.0,0.0
7DRMXZ3A_lower_left,834,338,836,339,836.0,339.0,0.0,0.0
7DRMXZ3A_lower_right,831,323,830,324,830.0,324.0,0.0,0.0
7DRMXZ3A_upper_left,794,295,794,293,794.0,293.0,0.0,0.0
7DRMXZ3A_upper_right,771,286,769,287,769.0,287.0,0.0,0.0
7IGA0W6E_lower_left,814,361,811,362,811.0,362.0,0.0,0.0
7IGA0W6E_lower_right,820,362,818,363,818.0,363.0,0.0,0.0
7IGA0W6E_upper_left,785,300,776,299,776.0,299.0,0.0,0.0
7IGA0W6E_upper_right,810,307,806,307,806.0,307.0,0.0,0.0
87N5YSES_lower_left,820,481,829,482,829.0,482.0,0.0,0.0
87N5YSES_lower_right,817,482,819,482,819.0,482.0,0.0,0.0
87N5YSES_upper_left,840,376,840,377,840.0,377.0,0.0,0.0
87N5YSES_upper_right,839,378,836,377,836.0,377.0,0.0,0.0
8SLVB1AH_lower_left,796,382,794,382,794.0,382.0,0.0,0.0
8SLVB1AH_lower_right,799,382,801,382,802.0,382.0,1.0,0.08
8SLVB1AH_upper_left,770,266,775,267,775.0,267.0,0.0,0.0
8SLVB1AH_upper_right,764,267,759,265,759.0,265.0,0.0,0.0
9GSQBATD_lower_left,805,346,806,346,806.0,346.0,0.0,0.0
9GSQBATD_lower_right,797,344,799,345,799.0,345.0,0.0,0.0
9GSQBATD_upper_left,780,314,780,313,780.0,313.0,0.0,0.0
9GSQBATD_upper_right,790,311,787,315,787.0,315.0,0.0,0.0
9KDRM0A8_lower_left,729,334,728,334,728.0,334.0,0.0,0.0
9KDRM0A8_lower_right,732,340,724,335,724.0,335.0,0.0,0.0
9KDRM0A8_upper_left,740,301,742,303,742.0,303.0,0.0,0.0
9KDRM0A8_upper_right,736,295,737,295,737.0,295.0,0.0,0.0
AEOQ4Q9Q_lower_left,803,315,803,320,803.0,320.0,0.0,0.0
AEOQ4Q9Q_lower_right,800,322,794,313,805.0,321.0,13.601470508735444,1.0881176406988355
AEOQ4Q9Q_upper_left,796,278,798,278,798.0,278.0,0.0,0.0
AEOQ4Q9Q_upper_right,801,282,801,273,801.0,273.0,0.0,0.0
ameziani_lower_left,861,385,855,385,855.0,385.0,0.0,0.0
ameziani_lower_right,837,377,841,376,841.0,376.0,0.0,0.0
ameziani_upper_left,849,353,854,354,854.0,354.0,0.0,0.0
ameziani_upper_right,844,351,845,352,845.0,352.0,0.0,0.0
ANLLPLV7_lower_left,743,334,734,327,761.0,328.0,27.018512172212592,2.1614809737770075
ANLLPLV7_lower_right,756,332,760,329,760.0,329.0,0.0,0.0
ANLLPLV7_upper_left,735,311,736,314,736.0,314.0,0.0,0.0
ANLLPLV7_upper_right,738,315,736,316,736.0,316.0,0.0,0.0
ASUXPX7O_lower_left,747,332,750,334,750.0,334.0,0.0,0.0
ASUXPX7O_lower_right,751,335,750,336,750.0,336.0,0.0,0.0
ASUXPX7O_upper_left,754,275,745,273,744.0,273.0,1.0,0.08
ASUXPX7O_upper_right,756,266,755,268,755.0,268.0,0.0,0.0
AYSCFCO8_lower_left,833,358,830,359,830.0,359.0,0.0,0.0
AYSCFCO8_lower_right,835,356,834,356,834.0,356.0,0.0,0.0
AYSCFCO8_upper_left,800,266,799,267,799.0,267.0,0.0,0.0
AYSCFCO8_upper_right,796,254,796,261,796.0,261.0,0.0,0.0
B7JSFJPG_lower_left,790,363,781,362,791.0,365.0,10.44030650891055,0.835224520712844
B7JSFJPG_lower_right,792,365,792,365,792.0,365.0,0.0,0.0
B7JSFJPG_upper_left,775,327,779,328,779.0,328.0,0.0,0.0
B7JSFJPG_upper_right,773,325,774,325,774.0,325.0,0.0,0.0
BC0OWLNW_lower_left,819,412,816,411,816.0,411.0,0.0,0.0
BC0OWLNW_lower_right,833,410,831,412,831.0,412.0,0.0,0.0
BC0OWLNW_upper_left,895,377,896,375,875.0,378.0,21.213203435596427,1.6970562748477143
BC0OWLNW_upper_right,876,361,883,362,883.0,362.0,0.0,0.0
BNQ3Q4G3_lower_left,780,427,775,426,775.0,426.0,0.0,0.0
BNQ3Q4G3_lower_right,770,421,777,422,777.0,422.0,0.0,0.0
BNQ3Q4G3_upper_left,806,374,809,373,809.0,373.0,0.0,0.0
BNQ3Q4G3_upper_right,777,383,776,379,776.0,379.0,0.0,0.0
C2SF98X5_lower_left,828,501,822,502,822.0,502.0,0.0,0.0
C2SF98X5_lower_right,803,496,795,492,811.0,496.0,16.492422502470642,1.3193938001976515
C2SF98X5_upper_left,866,373,857,376,857.0,376.0,0.0,0.0
C2SF98X5_upper_right,846,373,848,374,848.0,374.0,0.0,0.0
CBSF6Q84_lower_left,761,314,757,318,757.0,318.0,0.0,0.0
CBSF6Q84_lower_right,758,320,757,321,752.0,322.0,5.0990195135927845,0.4079215610874228
CBSF6Q84_upper_left,760,325,759,325,759.0,325.0,0.0,0.0
CBSF6Q84_upper_right,754,323,753,324,753.0,324.0,0.0,0.0
DBNTTNY9_lower_left,843,367,842,367,842.0,367.0,0.0,0.0
DBNTTNY9_lower_right,863,384,854,378,866.0,385.0,13.892443989449804,1.1113955191559843
DBNTTNY9_upper_left,791,255,788,257,788.0,257.0,0.0,0.0
DBNTTNY9_upper_right,766,250,768,250,768.0,250.0,0.0,0.0
DEBDX44O_lower_left,818,512,815,503,806.0,505.0,9.219544457292887,0.737563556583431
DEBDX44O_lower_right,834,521,825,512,840.0,523.0,18.601075237738275,1.4880860190190621
DEBDX44O_upper_left,853,361,856,364,856.0,364.0,0.0,0.0
DEBDX44O_upper_right,855,370,856,370,843.0,373.0,13.341664064126334,1.0673331251301068
E23G704K_lower_left,780,348,783,346,783.0,346.0,0.0,0.0
E23G704K_lower_right,782,349,782,348,782.0,348.0,0.0,0.0
E23G704K_upper_left,787,318,789,309,786.0,307.0,3.605551275463989,0.2884441020371191
E23G704K_upper_right,788,298,789,298,789.0,298.0,0.0,0.0
E4GH1D3S_lower_left,861,413,854,414,854.0,414.0,0.0,0.0
E4GH1D3S_lower_right,865,415,862,414,853.0,414.0,9.0,0.72
E4GH1D3S_upper_left,837,377,846,377,853.0,377.0,7.0,0.56
E4GH1D3S_upper_right,861,375,856,377,856.0,377.0,0.0,0.0
E552BK9X_lower_left,738,290,734,289,759.0,288.0,25.019992006393608,2.001599360511489
E552BK9X_lower_right,747,294,750,298,750.0,299.0,1.0,0.08
E552BK9X_upper_left,813,238,814,238,814.0,238.0,0.0,0.0
E552BK9X_upper_right,819,245,821,252,821.0,252.0,0.0,0.0
EB6DQGAR_lower_left,819,409,810,408,817.0,408.0,7.0,0.56
EB6DQGAR_lower_right,848,407,839,408,835.0,408.0,4.0,0.32
EB6DQGAR_upper_left,832,381,835,384,835.0,384.0,0.0,0.0
EB6DQGAR_upper_right,824,388,826,384,826.0,384.0,0.0,0.0
FKSYZ9LA_lower_left,840,326,837,326,837.0,326.0,0.0,0.0
FKSYZ9LA_lower_right,827,322,830,323,830.0,323.0,0.0,0.0
FKSYZ9LA_upper_left,811,268,811,267,811.0,267.0,0.0,0.0
FKSYZ9LA_upper_right,810,263,809,265,809.0,265.0,0.0,0.0
GNR6QR3P_lower_left,789,354,780,353,792.0,354.0,12.041594578792296,0.9633275663033837
GNR6QR3P_lower_right,792,350,783,349,795.0,350.0,12.041594578792296,0.9633275663033837
GNR6QR3P_upper_left,779,293,779,293,779.0,293.0,0.0,0.0
GNR6QR3P_upper_right,777,295,777,293,777.0,293.0,0.0,0.0
H8RSX6T2_lower_left,819,342,815,343,826.0,344.0,11.045361017187261,0.8836288813749809
H8RSX6T2_lower_right,820,342,819,344,819.0,344.0,0.0,0.0
H8RSX6T2_upper_left,757,279,760,282,760.0,282.0,0.0,0.0
H8RSX6T2_upper_right,769,294,768,287,768.0,287.0,0.0,0.0
HZH8DYC7_lower_left,864,392,856,392,856.0,392.0,0.0,0.0
HZH8DYC7_lower_right,858,400,849,400,864.0,400.0,15.0,1.2
HZH8DYC7_upper_left,883,370,877,371,877.0,371.0,0.0,0.0
HZH8DYC7_upper_right,878,372,875,371,875.0,371.0,0.0,0.0
IHKL3Y8N_lower_left,788,375,789,376,790.0,376.0,1.0,0.08
IHKL3Y8N_lower_right,776,374,777,376,777.0,376.0,0.0,0.0
IHKL3Y8N_upper_left,770,314,770,311,770.0,311.0,0.0,0.0
IHKL3Y8N_upper_right,765,309,757,308,757.0,308.0,0.0,0.0
J1A5FRQN_lower_left,811,446,805,447,805.0,447.0,0.0,0.0
J1A5FRQN_lower_right,797,443,788,443,805.0,443.0,17.0,1.36
J1A5FRQN_upper_left,816,378,821,381,821.0,381.0,0.0,0.0
J1A5FRQN_upper_right,812,377,813,377,813.0,377.0,0.0,0.0
JJEIMAPR_lower_left,843,432,834,433,834.0,433.0,0.0,0.0
JJEIMAPR_lower_right,846,421,844,422,844.0,422.0,0.0,0.0
JJEIMAPR_upper_left,879,377,888,377,888.0,377.0,0.0,0.0
JJEIMAPR_upper_right,861,366,864,366,864.0,366.0,0.0,0.0
K9X2TVDE_lower_left,768,409,771,409,771.0,409.0,0.0,0.0
K9X2TVDE_lower_right,768,412,765,410,765.0,410.0,0.0,0.0
K9X2TVDE_upper_left,800,387,805,385,805.0,385.0,0.0,0.0
K9X2TVDE_upper_right,800,380,804,384,804.0,384.0,0.0,0.0
KBGVMAF7_lower_left,837,349,839,349,839.0,349.0,0.0,0.0
KBGVMAF7_lower_right,833,338,831,340,831.0,340.0,0.0,0.0
KBGVMAF7_upper_left,806,234,803,233,813.0,240.0,12.206555615733702,0.9765244492586962
KBGVMAF7_upper_right,801,231,805,233,805.0,233.0,0.0,0.0
KS0FGXGB_lower_left,747,435,749,434,749.0,434.0,0.0,0.0
KS0FGXGB_lower_right,755,436,755,435,755.0,435.0,0.0,0.0
KS0FGXGB_upper_left,815,356,816,358,816.0,358.0,0.0,0.0
KS0FGXGB_upper_right,816,360,816,358,816.0,358.0,0.0,0.0
KWWQJ60M_lower_left,790,350,781,350,780.0,349.0,1.4142135623730951,0.11313708498984762
KWWQJ60M_lower_right,782,350,784,350,784.0,350.0,0.0,0.0
KWWQJ60M_upper_left,763,270,761,274,761.0,274.0,0.0,0.0
KWWQJ60M_upper_right,770,271,770,275,770.0,275.0,0.0,0.0
LA67YYVJ_lower_left,780,434,771,426,783.0,432.0,13.416407864998739,1.0733126291998991
LA67YYVJ_lower_right,793,439,790,436,803.0,440.0,13.601470508735444,1.0881176406988355
LA67YYVJ_upper_left,837,350,846,354,848.0,354.0,2.0,0.16
LA67YYVJ_upper_right,832,351,830,352,830.0,352.0,0.0,0.0
LGADV15G_lower_left,796,349,797,350,797.0,350.0,0.0,0.0
LGADV15G_lower_right,804,353,802,353,802.0,353.0,0.0,0.0
LGADV15G_upper_left,784,262,786,261,786.0,261.0,0.0,0.0
LGADV15G_upper_right,788,261,788,262,788.0,262.0,0.0,0.0
MNIAB8K3_lower_left,799,340,791,336,792.0,336.0,1.0,0.08
MNIAB8K3_lower_right,802,332,803,332,803.0,332.0,0.0,0.0
MNIAB8K3_upper_left,808,264,809,266,809.0,266.0,0.0,0.0
MNIAB8K3_upper_right,779,259,773,259,773.0,259.0,0.0,0.0
