Filename,X_Model,Y_Model,X_Refined,Y_Refined,X_True,Y_True
DBNTTNY9_lower_left,842,367,842,367,842.0,367.0
DBNTTNY9_lower_right,864,384,855,379,866.0,385.0
DBNTTNY9_upper_left,789,256,788,257,788.0,257.0
DBNTTNY9_upper_right,766,250,768,250,768.0,250.0
DEBDX44O_lower_left,818,511,813,502,806.0,505.0
DEBDX44O_lower_right,835,521,826,512,840.0,523.0
DEBDX44O_upper_left,853,361,856,364,856.0,364.0
DEBDX44O_upper_right,855,371,856,370,843.0,373.0
E23G704K_lower_left,778,347,783,346,783.0,346.0
E23G704K_lower_right,783,349,782,348,782.0,348.0
E23G704K_upper_left,787,304,786,307,786.0,307.0
E23G704K_upper_right,789,299,789,298,789.0,298.0
E4GH1D3S_lower_left,863,413,854,414,854.0,414.0
E4GH1D3S_lower_right,855,414,853,414,853.0,414.0
E4GH1D3S_upper_left,861,377,853,377,853.0,377.0
E4GH1D3S_upper_right,863,377,856,377,856.0,377.0
E552BK9X_lower_left,740,293,749,289,759.0,288.0
E552BK9X_lower_right,749,297,750,298,750.0,299.0
E552BK9X_upper_left,118,328,111,330,814.0,238.0
E552BK9X_upper_right,819,245,821,252,821.0,252.0
EB6DQGAR_lower_left,821,409,817,408,817.0,408.0
EB6DQGAR_lower_right,845,407,837,408,835.0,408.0
EB6DQGAR_upper_left,834,380,835,384,835.0,384.0
EB6DQGAR_upper_right,825,380,826,384,826.0,384.0
FKSYZ9LA_lower_left,840,325,837,326,837.0,326.0
FKSYZ9LA_lower_right,826,323,830,323,830.0,323.0
FKSYZ9LA_upper_left,811,269,811,267,811.0,267.0
FKSYZ9LA_upper_right,809,264,809,265,809.0,265.0
GNR6QR3P_lower_left,788,353,780,353,792.0,354.0
GNR6QR3P_lower_right,791,350,782,349,795.0,350.0
GNR6QR3P_upper_left,780,295,779,293,779.0,293.0
GNR6QR3P_upper_right,777,296,777,293,777.0,293.0
H8RSX6T2_lower_left,819,342,815,343,826.0,344.0
H8RSX6T2_lower_right,820,342,819,344,819.0,344.0
H8RSX6T2_upper_left,757,280,760,282,760.0,282.0
H8RSX6T2_upper_right,768,295,768,287,768.0,287.0
HZH8DYC7_lower_left,865,393,856,392,856.0,392.0
HZH8DYC7_lower_right,857,399,848,399,864.0,400.0
HZH8DYC7_upper_left,883,370,877,371,877.0,371.0
HZH8DYC7_upper_right,880,371,875,371,875.0,371.0
IHKL3Y8N_lower_left,791,376,789,376,790.0,376.0
IHKL3Y8N_lower_right,776,375,777,376,777.0,376.0
IHKL3Y8N_upper_left,770,316,770,311,770.0,311.0
IHKL3Y8N_upper_right,766,309,757,308,757.0,308.0
J1A5FRQN_lower_left,810,446,805,447,805.0,447.0
J1A5FRQN_lower_right,799,443,805,443,805.0,443.0
J1A5FRQN_upper_left,814,379,821,381,821.0,381.0
J1A5FRQN_upper_right,813,377,813,377,813.0,377.0
JJEIMAPR_lower_left,841,433,834,433,834.0,433.0
JJEIMAPR_lower_right,845,423,844,422,844.0,422.0
JJEIMAPR_upper_left,904,377,895,380,888.0,377.0
JJEIMAPR_upper_right,862,366,864,366,864.0,366.0
K9X2TVDE_lower_left,768,409,771,409,771.0,409.0
K9X2TVDE_lower_right,767,411,765,410,765.0,410.0
K9X2TVDE_upper_left,801,386,805,385,805.0,385.0
K9X2TVDE_upper_right,801,380,804,384,804.0,384.0
KBGVMAF7_lower_left,837,348,839,349,839.0,349.0
KBGVMAF7_lower_right,833,339,831,340,831.0,340.0
KBGVMAF7_upper_left,806,234,803,233,813.0,240.0
KBGVMAF7_upper_right,803,232,805,233,805.0,233.0
KS0FGXGB_lower_left,746,435,749,434,749.0,434.0
KS0FGXGB_lower_right,756,436,755,435,755.0,435.0
KS0FGXGB_upper_left,816,355,816,358,816.0,358.0
KS0FGXGB_upper_right,815,361,816,358,816.0,358.0
KWWQJ60M_lower_left,791,350,782,350,780.0,349.0
KWWQJ60M_lower_right,782,350,784,350,784.0,350.0
KWWQJ60M_upper_left,763,271,761,274,761.0,274.0
KWWQJ60M_upper_right,771,273,770,275,770.0,275.0
LA67YYVJ_lower_left,779,433,770,426,783.0,432.0
LA67YYVJ_lower_right,795,440,790,436,803.0,440.0
LA67YYVJ_upper_left,836,350,845,354,848.0,354.0
LA67YYVJ_upper_right,831,351,830,352,830.0,352.0
LGADV15G_lower_left,795,350,797,350,797.0,350.0
LGADV15G_lower_right,803,352,802,353,802.0,353.0
LGADV15G_upper_left,785,261,786,261,786.0,261.0
LGADV15G_upper_right,790,260,788,262,788.0,262.0
MNIAB8K3_lower_left,799,341,791,336,792.0,336.0
MNIAB8K3_lower_right,802,332,803,332,803.0,332.0
MNIAB8K3_upper_left,807,267,809,266,809.0,266.0
MNIAB8K3_upper_right,778,260,773,259,773.0,259.0
