Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
01J9RWK6_upper_right,739.0,311.0,737.9199829101562,310.13397216796875,1.38,0.11
013NUWYR_lower_right,818.0,236.0,819.8399658203125,236.2348175048828,1.85,0.15
01J1XXHR_lower_right,760.0,330.0,775.0399780273438,334.7200012207031,15.76,1.26
016XWJ8X_upper_right,834.0,326.0,828.7999877929688,324.47998046875,5.42,0.43
01JH0154_upper_left,819.0,301.0,821.1199951171875,302.9562072753906,2.88,0.23
BC0OWLNW_lower_right,831.0,412.0,826.239990234375,415.0121765136719,5.63,0.45
0KIUZ4G5_lower_right,900.0,353.0,901.760009765625,353.91998291015625,1.99,0.16
9GSQBATD_upper_left,780.0,313.0,781.4400024414062,313.199462890625,1.45,0.12
015KFJV6_upper_right,802.0,303.0,800.6399536132812,306.55999755859375,3.81,0.3
01J1XXHR_upper_left,777.0,292.0,781.4400024414062,292.47998046875,4.47,0.36
KWWQJ60M_lower_left,780.0,349.0,785.2799682617188,351.5057373046875,5.84,0.47
B7JSFJPG_upper_left,779.0,328.0,782.719970703125,326.89239501953125,3.88,0.31
5SD5BWLR_upper_left,781.0,287.0,782.719970703125,285.20074462890625,2.49,0.2
LA67YYVJ_lower_right,803.0,440.0,803.3171997070312,442.239990234375,2.26,0.18
01FURZ62_lower_left,791.0,317.0,786.5599975585938,315.8909606933594,4.58,0.37
KBGVMAF7_lower_left,839.0,349.0,832.6399536132812,348.9728698730469,6.36,0.51
014EZU5V_upper_right,791.0,285.0,789.1199951171875,281.7966003417969,3.71,0.3
J1A5FRQN_lower_left,805.0,447.0,804.47998046875,451.31103515625,4.34,0.35
9GSQBATD_lower_left,806.0,346.0,803.2000122070312,346.239990234375,2.81,0.22
014JJ942_upper_left,770.0,278.0,780.1599731445312,277.98883056640625,10.16,0.81
9KDRM0A8_lower_right,724.0,335.0,730.239990234375,339.26165771484375,7.56,0.6
LA67YYVJ_lower_left,783.0,432.0,781.4400024414062,430.7200012207031,2.02,0.16
01422MSK_lower_left,739.0,302.0,753.2799682617188,311.0802917480469,16.92,1.35
E552BK9X_lower_left,759.0,288.0,735.3599853515625,283.3976745605469,24.08,1.93
45UD35GC_upper_right,798.0,269.0,795.5199584960938,270.7200012207031,3.02,0.24
015SUFFX_lower_right,800.0,334.0,796.7999877929688,337.2799987792969,4.58,0.37
01FAYE3T_lower_right,772.0,367.0,769.9199829101562,369.2799987792969,3.09,0.25
9GSQBATD_upper_right,787.0,315.0,785.2799682617188,314.6068420410156,1.76,0.14
50O9GUWT_upper_right,807.0,252.0,804.47998046875,251.51998901367188,2.57,0.21
01G1GYUF_lower_right,776.0,355.0,776.3200073242188,352.6399841308594,2.38,0.19
AEOQ4Q9Q_upper_left,798.0,278.0,796.7999877929688,277.65533447265625,1.25,0.1
KWWQJ60M_upper_left,761.0,274.0,759.6799926757812,273.2643127441406,1.51,0.12
01JZF0KX_lower_right,805.0,340.0,795.5199584960938,341.1199951171875,9.55,0.76
5SD5BWLR_upper_right,781.0,288.0,782.719970703125,286.2020568847656,2.49,0.2
01JZF0KX_upper_right,728.0,283.0,728.9599609375,281.1306457519531,2.1,0.17
HZH8DYC7_lower_left,856.0,392.0,856.9599609375,391.03997802734375,1.36,0.11
0VFZZY32_upper_right,790.0,383.0,790.3999633789062,383.3599853515625,0.54,0.04
0AAQ6BO3_upper_left,805.0,280.0,805.760009765625,280.1343994140625,0.77,0.06
DBNTTNY9_lower_right,866.0,385.0,865.9199829101562,385.91998291015625,0.92,0.07
ASUXPX7O_upper_right,755.0,268.0,753.2799682617188,270.7200012207031,3.22,0.26
E23G704K_lower_left,783.0,346.0,784.0,346.0751953125,1.0,0.08
01HMZ9RN_upper_left,772.0,282.0,775.0399780273438,280.54107666015625,3.37,0.27
DBNTTNY9_upper_right,768.0,250.0,766.0799560546875,247.67999267578125,3.01,0.24
1419YTY4_lower_left,763.0,416.0,757.1199951171875,417.91998291015625,6.19,0.5
K9X2TVDE_upper_right,804.0,384.0,800.6399536132812,384.9001159667969,3.48,0.28
GNR6QR3P_lower_left,792.0,354.0,787.8399658203125,351.3599853515625,4.93,0.39
013FHA7K_upper_right,782.0,276.0,784.0,275.90008544921875,2.0,0.16
J1A5FRQN_upper_left,821.0,381.0,822.3999633789062,382.0799865722656,1.77,0.14
AEOQ4Q9Q_upper_right,801.0,273.0,797.1307373046875,273.0828857421875,3.87,0.31
ameziani_upper_left,854.0,354.0,855.6799926757812,352.1499938964844,2.5,0.2
015KFJV6_lower_left,818.0,320.0,818.5599975585938,318.0799865722656,2.0,0.16
01CCUKV4_upper_right,799.0,283.0,798.0799560546875,281.96942138671875,1.38,0.11
014EZU5V_upper_left,785.0,283.0,785.2799682617188,280.0408935546875,2.97,0.24
0KIUZ4G5_upper_left,873.0,246.0,872.3200073242188,245.30714416503906,0.97,0.08
01KRCSKD_lower_left,843.0,330.0,839.0399780273438,334.7200012207031,6.16,0.49
E23G704K_upper_right,789.0,298.0,786.5599975585938,301.564453125,4.32,0.35
01FX95TX_lower_left,774.0,307.0,776.3200073242188,309.3810729980469,3.32,0.27
5LP835GA_upper_left,804.0,387.0,800.6399536132812,387.53662109375,3.4,0.27
013NXP1H_lower_right,836.0,362.0,832.6399536132812,360.6588439941406,3.62,0.29
014JJ942_upper_right,776.0,273.0,781.4444580078125,273.5102233886719,5.47,0.44
GNR6QR3P_upper_left,779.0,293.0,781.4400024414062,295.2468566894531,3.32,0.27
01G1GYUF_upper_left,779.0,320.0,780.1599731445312,316.8001708984375,3.4,0.27
KWWQJ60M_lower_right,784.0,350.0,784.0,349.38629150390625,0.61,0.05
ameziani_lower_left,855.0,385.0,855.6799926757812,385.91998291015625,1.14,0.09
4J24X0ES_lower_left,831.0,481.0,827.5682373046875,484.2845458984375,4.75,0.38
DBNTTNY9_lower_left,842.0,367.0,856.9599609375,382.0799865722656,21.24,1.7
BC0OWLNW_upper_left,875.0,378.0,892.7999877929688,380.78167724609375,18.02,1.44
0171X5EV_lower_left,791.0,343.0,790.3999633789062,344.9599914550781,2.05,0.16
015DUP26_upper_right,725.0,284.0,725.1199951171875,283.0050048828125,1.0,0.08
0OF8OOCX_lower_left,853.0,315.0,854.3999633789062,314.239990234375,1.59,0.13
014JJ942_lower_right,778.0,306.0,781.4400024414062,309.1199951171875,4.64,0.37
0TMOBYXS_lower_left,762.0,339.0,759.6799926757812,343.6653747558594,5.21,0.42
0OF8OOCX_lower_right,843.0,302.0,844.1599731445312,306.55999755859375,4.71,0.38
LA67YYVJ_upper_right,830.0,352.0,827.5199584960938,352.8057861328125,2.61,0.21
B7JSFJPG_upper_right,774.0,325.0,775.0399780273438,322.2608337402344,2.93,0.23
01DXDP2R_upper_right,722.0,272.0,718.719970703125,272.5926208496094,3.33,0.27
01CCUKV4_lower_right,873.0,368.0,868.47998046875,368.3575744628906,4.53,0.36
0KIUZ4G5_upper_right,863.0,241.0,863.3599853515625,241.27999877929688,0.46,0.04
015DXGZH_lower_right,773.0,306.0,776.3200073242188,307.8399963378906,3.8,0.3
01E5XG8Z_lower_right,800.0,328.0,798.0799560546875,332.1600036621094,4.58,0.37
01J9RWK6_upper_left,734.0,308.0,741.8359375,307.7418212890625,7.84,0.63
KWWQJ60M_upper_right,770.0,275.0,769.9199829101562,274.55999755859375,0.45,0.04
5SD5BWLR_lower_left,795.0,361.0,793.1616821289062,359.03997802734375,2.69,0.22
017UYAW4_lower_right,808.0,337.0,807.0399780273438,341.1199951171875,4.23,0.34
016XWJ8X_lower_right,808.0,346.0,796.7999877929688,342.3999938964844,11.76,0.94
7IGA0W6E_upper_right,806.0,307.0,813.4400024414062,308.1128234863281,7.52,0.6
01JH0154_lower_right,831.0,320.0,827.5199584960938,316.79998779296875,4.73,0.38
ASUXPX7O_lower_left,750.0,334.0,749.4400024414062,337.2799987792969,3.33,0.27
015KFJV6_lower_right,818.0,324.0,818.5599975585938,323.1999816894531,0.98,0.08
45UD35GC_lower_left,822.0,330.0,818.5599975585938,328.32000732421875,3.83,0.31
0148UTKX_lower_left,816.0,337.0,816.9401245117188,341.542724609375,4.64,0.37
014JJ942_lower_left,784.0,313.0,782.719970703125,313.0393371582031,1.28,0.1
ASUXPX7O_upper_left,744.0,273.0,766.0799560546875,275.0170593261719,22.17,1.77
7DRMXZ3A_lower_left,836.0,339.0,832.6399536132812,343.125,5.32,0.43
56R9FBMK_lower_left,799.0,332.0,796.7999877929688,336.0,4.57,0.37
014WKP6A_upper_left,788.0,277.0,786.5599975585938,277.1355285644531,1.45,0.12
01FURZ62_upper_right,789.0,297.0,786.5599975585938,300.1600036621094,3.99,0.32
01K3G866_upper_right,696.0,299.0,699.5199584960938,304.0,6.11,0.49
015DXGZH_upper_right,760.0,274.0,757.1199951171875,273.2799987792969,2.97,0.24
FKSYZ9LA_upper_right,809.0,265.0,809.5999755859375,269.7160949707031,4.75,0.38
EB6DQGAR_lower_left,817.0,408.0,826.239990234375,414.66455078125,11.39,0.91
AYSCFCO8_upper_right,796.0,261.0,792.8324584960938,265.93408203125,5.86,0.47
015DUP26_upper_left,730.0,285.0,727.6799926757812,284.6093444824219,2.35,0.19
JJEIMAPR_upper_left,888.0,377.0,891.5199584960938,380.1041564941406,4.69,0.38
01HMZ9RN_upper_right,773.0,282.0,777.5999755859375,281.187255859375,4.67,0.37
DBNTTNY9_upper_left,788.0,257.0,786.5599975585938,261.7599792480469,4.97,0.4
50O9GUWT_lower_left,775.0,299.0,762.395751953125,298.9718017578125,12.6,1.01
016XWJ8X_upper_left,818.0,329.0,823.6799926757812,333.44000244140625,7.21,0.58
CBSF6Q84_upper_left,759.0,325.0,755.8399658203125,322.1944274902344,4.23,0.34
01KRCSKD_lower_right,846.0,329.0,845.4400024414062,332.1600036621094,3.21,0.26
01ETW4JZ_lower_right,850.0,341.0,850.5599975585938,343.67999267578125,2.74,0.22
015SUFFX_upper_left,747.0,288.0,749.4400024414062,286.0799865722656,3.1,0.25
E23G704K_upper_left,786.0,307.0,786.5599975585938,307.8399963378906,1.01,0.08
C2SF98X5_upper_right,848.0,374.0,850.63818359375,379.6761169433594,6.26,0.5
6BWQC0CT_upper_left,767.0,273.0,764.7999877929688,273.2799987792969,2.22,0.18
0148UTKX_upper_right,778.0,325.0,780.1599731445312,322.6902770996094,3.16,0.25
0169NHT6_upper_right,826.0,280.0,824.3550415039062,280.06219482421875,1.65,0.13
1419YTY4_lower_right,740.0,409.0,748.1599731445312,411.5199890136719,8.54,0.68
6BWQC0CT_lower_left,800.0,311.0,798.0799560546875,311.67999267578125,2.04,0.16
8SLVB1AH_upper_right,759.0,265.0,760.9599609375,269.44000244140625,4.85,0.39
0148VUFR_lower_right,792.0,343.0,790.3999633789062,344.9599914550781,2.53,0.2
01FAYE3T_upper_left,772.0,281.0,775.0399780273438,279.6507263183594,3.33,0.27
014WKP6A_lower_left,827.0,361.0,824.9599609375,359.8365478515625,2.35,0.19
0148UTKX_lower_right,822.0,336.0,805.760009765625,337.2799987792969,16.29,1.3
56R9FBMK_upper_right,833.0,265.0,831.3599853515625,269.4198913574219,4.71,0.38
01DXDP2R_lower_right,713.0,327.0,711.0399780273438,324.47998046875,3.19,0.26
KS0FGXGB_upper_left,816.0,358.0,817.2799682617188,354.5908203125,3.64,0.29
013TXGFK_lower_left,835.0,363.0,826.239990234375,360.5135803222656,9.11,0.73
0TMOBYXS_lower_right,769.0,339.0,766.0799560546875,342.3999938964844,4.48,0.36
87N5YSES_upper_left,840.0,377.0,836.47998046875,380.79998779296875,5.18,0.41
1419YTY4_upper_left,823.0,371.0,822.3999633789062,374.3999938964844,3.45,0.28
01A6H4PZ_upper_left,795.0,294.0,795.5199584960938,296.32000732421875,2.38,0.19
013FHA7K_upper_left,799.0,276.0,795.5199584960938,275.36767578125,3.54,0.28
E23G704K_lower_right,782.0,348.0,784.0,348.79998779296875,2.15,0.17
ameziani_lower_right,841.0,376.0,837.760009765625,380.79998779296875,5.79,0.46
01FX95TX_lower_right,772.0,308.0,773.760009765625,309.29437255859375,2.18,0.17
0145NKWZ_upper_left,846.0,273.0,841.5999755859375,272.0,4.51,0.36
017UYAW4_upper_left,776.0,280.0,780.1599731445312,278.3999938964844,4.46,0.36
01FGPDFR_upper_left,853.0,304.0,859.5199584960938,306.55999755859375,7.0,0.56
01HJKFR8_upper_left,781.0,318.0,799.3599853515625,313.81597900390625,18.83,1.51
KS0FGXGB_lower_right,755.0,435.0,752.0,430.7200012207031,5.23,0.42
9KDRM0A8_lower_left,728.0,334.0,728.9599609375,337.6414794921875,3.77,0.3
3JCUF41E_upper_right,775.0,291.0,775.0399780273438,290.2396240234375,0.76,0.06
5SD5BWLR_lower_right,801.0,362.0,798.2655029296875,357.7599792480469,5.05,0.4
JJEIMAPR_lower_left,834.0,433.0,828.7999877929688,432.0,5.3,0.42
01FGPDFR_upper_right,858.0,301.0,858.239990234375,304.8956604003906,3.9,0.31
7IGA0W6E_lower_left,811.0,362.0,813.4930419921875,360.3199768066406,3.01,0.24
0VFZZY32_lower_right,770.0,429.0,775.0399780273438,426.9462890625,5.44,0.44
JJEIMAPR_upper_right,864.0,366.0,860.7999877929688,369.3772277832031,4.65,0.37
01422MSK_upper_left,754.0,291.0,752.0,291.388671875,2.04,0.16
0VFZZY32_upper_left,791.0,380.0,790.3999633789062,382.0799865722656,2.16,0.17
01F4JV8X_upper_right,778.0,267.0,781.4400024414062,270.7200012207031,5.07,0.41
3JCUF41E_lower_left,825.0,307.0,822.3999633789062,308.58551025390625,3.05,0.24
45UD35GC_lower_right,803.0,322.0,804.47998046875,319.6583251953125,2.77,0.22
01F6WV5D_lower_right,742.0,351.0,745.5999755859375,351.3599853515625,3.62,0.29
7DRMXZ3A_lower_right,830.0,324.0,827.5199584960938,323.18841552734375,2.61,0.21
01G1AKV2_lower_left,816.0,385.0,819.8399658203125,385.91998291015625,3.95,0.32
0TMOBYXS_upper_left,744.0,264.0,745.5999755859375,269.44000244140625,5.67,0.45
H8RSX6T2_lower_left,826.0,344.0,819.8399658203125,345.2413330078125,6.28,0.5
01A6H4PZ_lower_right,766.0,274.0,759.6799926757812,273.2799987792969,6.36,0.51
BNQ3Q4G3_lower_right,777.0,422.0,777.5999755859375,421.7599792480469,0.65,0.05
50O9GUWT_lower_right,775.0,294.0,780.1599731445312,297.95330810546875,6.5,0.52
H8RSX6T2_lower_right,819.0,344.0,821.251220703125,345.051513671875,2.48,0.2
01MAVHYZ_lower_right,784.0,362.0,784.0,360.31256103515625,1.69,0.14
015RM178_lower_left,836.0,333.0,831.5623168945312,337.2910461425781,6.17,0.49
015RM178_upper_left,774.0,303.0,776.3200073242188,307.291259765625,4.88,0.39
8SLVB1AH_lower_left,794.0,382.0,796.7999877929688,384.6399841308594,3.85,0.31
6TZ254SP_lower_left,821.0,363.0,819.9029541015625,360.9881591796875,2.29,0.18
017UYAW4_lower_left,803.0,338.0,798.0799560546875,341.1199951171875,5.83,0.47
01K3G866_upper_left,716.0,306.0,716.1599731445312,307.8399963378906,1.85,0.15
E4GH1D3S_lower_right,853.0,414.0,855.6799926757812,416.6399841308594,3.76,0.3
01F6WV5D_upper_left,679.0,222.0,677.760009765625,224.63999938964844,2.92,0.23
01G1AKV2_upper_left,827.0,289.0,826.239990234375,288.3334655761719,1.01,0.08
01MAVHYZ_upper_left,822.0,311.0,821.1199951171875,310.3999938964844,1.07,0.09
019P6PZD_upper_right,796.0,258.0,795.5199584960938,261.7599792480469,3.79,0.3
AYSCFCO8_lower_left,830.0,359.0,826.239990234375,356.47998046875,4.53,0.36
0169NHT6_lower_right,850.0,348.0,851.8399658203125,348.8523254394531,2.03,0.16
01HMZ9RN_lower_left,783.0,346.0,785.2799682617188,346.239990234375,2.29,0.18
C2SF98X5_lower_left,822.0,502.0,821.1443481445312,501.13604736328125,1.22,0.1
45UD35GC_upper_left,791.0,263.0,789.1199951171875,268.1600036621094,5.49,0.44
K9X2TVDE_lower_right,765.0,410.0,763.5199584960938,413.00592041015625,3.35,0.27
014WKP6A_lower_right,830.0,362.0,826.239990234375,359.66754150390625,4.42,0.35
EB6DQGAR_upper_left,835.0,384.0,832.812744140625,385.3897705078125,2.59,0.21
013FHA7K_lower_left,844.0,369.0,840.3200073242188,371.8857727050781,4.68,0.37
01CCUKV4_lower_left,869.0,372.0,865.9199829101562,375.67999267578125,4.8,0.38
019P6PZD_upper_left,796.0,262.0,796.2809448242188,265.3627624511719,3.37,0.27
01KRCSKD_upper_right,812.0,304.0,817.2799682617188,306.55999755859375,5.87,0.47
FKSYZ9LA_upper_left,811.0,267.0,812.1599731445312,270.8788146972656,4.05,0.32
01FGPDFR_lower_left,869.0,341.0,865.9199829101562,343.67999267578125,4.08,0.33
ANLLPLV7_upper_right,736.0,316.0,737.9199829101562,316.2838134765625,1.94,0.16
B7JSFJPG_lower_right,792.0,365.0,791.6799926757812,366.7313537597656,1.76,0.14
01F4JV8X_lower_right,778.0,327.0,781.4400024414062,328.32000732421875,3.68,0.29
K9X2TVDE_lower_left,771.0,409.0,772.47998046875,411.5199890136719,2.92,0.23
019P6PZD_lower_right,828.0,347.0,826.239990234375,347.5199890136719,1.84,0.15
6TZ254SP_upper_left,774.0,299.0,776.3200073242188,301.8558044433594,3.68,0.29
EB6DQGAR_upper_right,826.0,384.0,826.239990234375,384.37115478515625,0.44,0.04
01JH0154_upper_right,810.0,296.0,817.2799682617188,298.8800048828125,7.83,0.63
BNQ3Q4G3_upper_right,776.0,379.0,781.4400024414062,382.0799865722656,6.25,0.5
3JCUF41E_lower_right,811.0,308.0,821.1199951171875,307.8399963378906,10.12,0.81
01F4JV8X_lower_left,775.0,329.0,777.5999755859375,330.2042541503906,2.87,0.23
014EZU5V_lower_left,822.0,344.0,821.1199951171875,344.940185546875,1.29,0.1
0158T9ED_lower_left,826.0,350.0,824.9599609375,350.0799865722656,1.04,0.08
01MAVHYZ_upper_right,820.0,313.0,822.3999633789062,312.2321472167969,2.52,0.2
BNQ3Q4G3_upper_left,809.0,373.0,809.5999755859375,376.9599914550781,4.01,0.32
01DXDP2R_lower_left,712.0,327.0,711.0399780273438,325.7599792480469,1.57,0.13
01J1XXHR_upper_right,784.0,295.0,784.0,298.9848327636719,3.98,0.32
0AAQ6BO3_lower_right,833.0,358.0,827.5199584960938,355.1999816894531,6.15,0.49
0171X5EV_upper_right,788.0,279.0,787.8399658203125,277.1199951171875,1.89,0.15
BNQ3Q4G3_lower_left,775.0,426.0,776.3200073242188,425.5999755859375,1.38,0.11
01F6WV5D_upper_right,679.0,221.0,677.760009765625,223.36000061035156,2.67,0.21
9KDRM0A8_upper_left,742.0,303.0,745.5999755859375,305.02294921875,4.13,0.33
5LP835GA_lower_right,779.0,376.0,780.1599731445312,380.2567138671875,4.41,0.35
6BWQC0CT_upper_right,766.0,275.0,767.3599853515625,274.55999755859375,1.43,0.11
01HJKFR8_lower_left,797.0,348.0,791.6799926757812,348.79998779296875,5.38,0.43
AYSCFCO8_lower_right,834.0,356.0,827.5199584960938,354.67144775390625,6.61,0.53
01J9RWK6_lower_right,840.0,375.0,839.0399780273438,379.5199890136719,4.62,0.37
01422MSK_upper_right,759.0,291.0,753.2799682617188,291.1999816894531,5.72,0.46
E4GH1D3S_upper_right,856.0,377.0,855.6799926757812,381.1400451660156,4.15,0.33
01FX95TX_upper_right,776.0,297.0,780.1599731445312,299.34619140625,4.78,0.38
87N5YSES_lower_left,829.0,482.0,826.239990234375,484.1236572265625,3.48,0.28
0171X5EV_lower_right,790.0,345.0,789.1199951171875,344.9599914550781,0.88,0.07
01A6H4PZ_upper_right,815.0,298.0,818.5599975585938,301.0309143066406,4.68,0.37
KS0FGXGB_lower_left,749.0,434.0,748.1599731445312,431.7921447753906,2.36,0.19
9KDRM0A8_upper_right,737.0,295.0,741.7974853515625,297.6000061035156,5.46,0.44
8SLVB1AH_lower_right,802.0,382.0,799.3599853515625,383.3599853515625,2.97,0.24
DEBDX44O_lower_left,806.0,505.0,819.8399658203125,508.6336364746094,14.31,1.14
J1A5FRQN_lower_right,805.0,443.0,809.5999755859375,446.426513671875,5.74,0.46
LGADV15G_upper_right,788.0,262.0,789.1199951171875,265.6921081542969,3.86,0.31
0OF8OOCX_upper_right,779.0,225.0,782.7335815429688,228.47999572753906,5.1,0.41
K9X2TVDE_upper_left,805.0,385.0,804.47998046875,385.1980285644531,0.56,0.04
3JCUF41E_upper_left,759.0,284.0,755.0667114257812,283.5199890136719,3.96,0.32
ANLLPLV7_lower_right,760.0,329.0,755.8399658203125,329.93780517578125,4.26,0.34
014WKP6A_upper_right,785.0,284.0,785.2799682617188,280.9599914550781,3.05,0.24
015KFJV6_upper_left,798.0,298.0,799.3599853515625,300.1600036621094,2.55,0.2
01HJKFR8_upper_right,801.0,313.0,800.6399536132812,312.32861328125,0.76,0.06
0145NKWZ_lower_right,849.0,351.0,849.2799682617188,350.0799865722656,0.96,0.08
014EZU5V_lower_right,820.0,344.0,818.5599975585938,344.73583984375,1.62,0.13
01HJKFR8_lower_right,801.0,348.0,798.0799560546875,347.5199890136719,2.96,0.24
KS0FGXGB_upper_right,816.0,358.0,818.5599975585938,356.47998046875,2.98,0.24
7IGA0W6E_upper_left,776.0,299.0,782.719970703125,302.556640625,7.6,0.61
B7JSFJPG_lower_left,791.0,365.0,789.1199951171875,365.44000244140625,1.93,0.15
87N5YSES_upper_right,836.0,377.0,840.3200073242188,381.20037841796875,6.03,0.48
7DRMXZ3A_upper_left,794.0,293.0,791.6799926757812,294.22772216796875,2.62,0.21
IHKL3Y8N_lower_right,777.0,376.0,781.4400024414062,379.5199890136719,5.67,0.45
0TMOBYXS_upper_right,740.0,264.0,743.0399780273438,268.1600036621094,5.15,0.41
0169NHT6_lower_left,849.0,349.0,848.0,347.5572204589844,1.76,0.14
6TZ254SP_upper_right,774.0,295.0,780.1599731445312,299.2882080078125,7.51,0.6
0OF8OOCX_upper_left,784.0,224.0,785.2799682617188,227.1999969482422,3.45,0.28
KBGVMAF7_upper_right,805.0,233.0,805.760009765625,233.59999084472656,0.97,0.08
AEOQ4Q9Q_lower_right,805.0,321.0,798.0799560546875,313.8356628417969,9.96,0.8
01CCUKV4_upper_left,798.0,287.0,798.0799560546875,285.0789489746094,1.92,0.15
013TXGFK_upper_left,769.0,256.0,772.47998046875,254.36151123046875,3.85,0.31
01MAVHYZ_lower_left,780.0,361.0,781.4400024414062,359.03997802734375,2.43,0.19
015DXGZH_upper_left,731.0,260.0,730.239990234375,263.0400085449219,3.13,0.25
01JZF0KX_upper_left,740.0,293.0,745.6350708007812,296.25921630859375,6.51,0.52
56R9FBMK_upper_left,833.0,270.0,832.6399536132812,271.0721130371094,1.13,0.09
E552BK9X_upper_left,814.0,238.0,813.5321655273438,239.57948303222656,1.65,0.13
6TZ254SP_lower_right,821.0,363.0,822.3999633789062,360.9674377441406,2.47,0.2
0148VUFR_upper_left,770.0,283.0,773.760009765625,280.9599914550781,4.28,0.34
01F4JV8X_upper_left,788.0,267.0,787.83984375,270.0160827636719,3.02,0.24
013TXGFK_lower_right,824.0,360.0,824.9599609375,357.9272155761719,2.28,0.18
