Filename,X_Model,Y_Model,X_Refined,Y_Refined,X_True,Y_True
013NXP1H_lower_right,831,360,824,359,836.0,362.0
014JJ942_upper_right,780,273,776,273,776.0,273.0
GNR6QR3P_upper_left,781,292,779,293,779.0,293.0
01G1GYUF_upper_left,777,315,779,320,779.0,320.0
KWWQJ60M_lower_right,782,350,784,350,784.0,350.0
ameziani_lower_left,854,383,855,385,855.0,385.0
4J24X0ES_lower_left,828,483,831,481,831.0,481.0
DBNTTNY9_lower_left,850,374,843,368,842.0,367.0
BC0OWLNW_upper_left,891,379,896,375,875.0,378.0
0171X5EV_lower_left,789,343,791,343,791.0,343.0
015DUP26_upper_right,721,282,725,284,725.0,284.0
0OF8OOCX_lower_left,853,314,853,315,853.0,315.0
014JJ942_lower_right,780,306,778,306,778.0,306.0
0TMOBYXS_lower_left,759,341,753,335,762.0,339.0
0OF8OOCX_lower_right,845,303,843,302,843.0,302.0
LA67YYVJ_upper_right,828,353,830,352,830.0,352.0
B7JSFJPG_upper_right,775,319,774,325,774.0,325.0
01DXDP2R_upper_right,718,272,722,272,722.0,272.0
01CCUKV4_lower_right,867,369,873,368,873.0,368.0
0KIUZ4G5_upper_right,863,240,863,241,863.0,241.0
015DXGZH_lower_right,775,305,773,306,773.0,306.0
01E5XG8Z_lower_right,796,330,800,328,800.0,328.0
01J9RWK6_upper_left,739,306,734,308,734.0,308.0
KWWQJ60M_upper_right,771,274,770,275,770.0,275.0
5SD5BWLR_lower_left,791,357,795,361,795.0,361.0
017UYAW4_lower_right,809,339,808,337,808.0,337.0
016XWJ8X_lower_right,795,342,799,339,808.0,346.0
7IGA0W6E_upper_right,812,305,806,307,806.0,307.0
01JH0154_lower_right,828,315,831,320,831.0,320.0
ASUXPX7O_lower_left,749,337,750,334,750.0,334.0
015KFJV6_lower_right,818,320,818,324,818.0,324.0
45UD35GC_lower_left,819,327,812,328,822.0,330.0
0148UTKX_lower_left,818,339,816,337,816.0,337.0
014JJ942_lower_left,781,311,784,313,784.0,313.0
ASUXPX7O_upper_left,773,275,770,273,744.0,273.0
7DRMXZ3A_lower_left,830,341,836,339,836.0,339.0
56R9FBMK_lower_left,795,337,799,332,799.0,332.0
014WKP6A_upper_left,785,277,788,277,788.0,277.0
01FURZ62_upper_right,787,298,789,297,789.0,297.0
01K3G866_upper_right,696,300,694,299,696.0,299.0
015DXGZH_upper_right,757,272,760,274,760.0,274.0
FKSYZ9LA_upper_right,810,266,809,265,809.0,265.0
EB6DQGAR_lower_left,828,411,821,409,817.0,408.0
AYSCFCO8_upper_right,791,264,796,261,796.0,261.0
015DUP26_upper_left,722,283,729,285,730.0,285.0
JJEIMAPR_upper_left,891,379,888,377,888.0,377.0
01HMZ9RN_upper_right,777,280,773,282,773.0,282.0
DBNTTNY9_upper_left,785,260,788,257,788.0,257.0
50O9GUWT_lower_left,775,297,775,299,775.0,299.0
016XWJ8X_upper_left,823,328,818,329,818.0,329.0
CBSF6Q84_upper_left,755,320,759,325,759.0,325.0
01KRCSKD_lower_right,848,329,846,329,846.0,329.0
01ETW4JZ_lower_right,849,342,850,341,850.0,341.0
015SUFFX_upper_left,748,284,747,288,747.0,288.0
E23G704K_upper_left,785,306,786,307,786.0,307.0
C2SF98X5_upper_right,849,374,848,374,848.0,374.0
6BWQC0CT_upper_left,764,272,767,273,767.0,273.0
0148UTKX_upper_right,777,320,778,325,778.0,325.0
0169NHT6_upper_right,826,279,826,280,826.0,280.0
1419YTY4_lower_right,748,410,741,409,740.0,409.0
6BWQC0CT_lower_left,796,310,800,311,800.0,311.0
8SLVB1AH_upper_right,760,266,759,265,759.0,265.0
0148VUFR_lower_right,790,343,792,343,792.0,343.0
01FAYE3T_upper_left,775,279,772,281,772.0,281.0
014WKP6A_lower_left,826,359,827,361,827.0,361.0
0148UTKX_lower_right,812,338,805,333,822.0,336.0
56R9FBMK_upper_right,831,266,833,265,833.0,265.0
01DXDP2R_lower_right,711,323,713,327,713.0,327.0
KS0FGXGB_upper_left,813,355,816,358,816.0,358.0
013TXGFK_lower_left,826,359,827,361,835.0,363.0
0TMOBYXS_lower_right,767,341,769,339,769.0,339.0
87N5YSES_upper_left,836,378,840,377,840.0,377.0
1419YTY4_upper_left,822,374,823,371,823.0,371.0
01A6H4PZ_upper_left,795,295,795,294,795.0,294.0
013FHA7K_upper_left,794,275,799,276,799.0,276.0
E23G704K_lower_right,782,348,782,348,782.0,348.0
ameziani_lower_right,836,378,841,376,841.0,376.0
01FX95TX_lower_right,773,306,772,308,772.0,308.0
0145NKWZ_upper_left,842,270,843,272,846.0,273.0
017UYAW4_upper_left,780,278,776,280,776.0,280.0
01FGPDFR_upper_left,860,304,853,304,853.0,304.0
01HJKFR8_upper_left,796,312,801,314,781.0,318.0
KS0FGXGB_lower_right,754,432,755,435,755.0,435.0
9KDRM0A8_lower_left,725,337,728,334,728.0,334.0
3JCUF41E_upper_right,776,286,775,291,775.0,291.0
5SD5BWLR_lower_right,797,357,793,360,801.0,362.0
JJEIMAPR_lower_left,832,432,834,433,834.0,433.0
01FGPDFR_upper_right,856,300,857,301,858.0,301.0
7IGA0W6E_lower_left,812,359,811,362,811.0,362.0
0VFZZY32_lower_right,776,426,770,429,770.0,429.0
JJEIMAPR_upper_right,862,366,864,366,864.0,366.0
01422MSK_upper_left,753,290,754,291,754.0,291.0
0VFZZY32_upper_left,790,378,791,380,791.0,380.0
01F4JV8X_upper_right,780,269,778,267,778.0,267.0
3JCUF41E_lower_left,822,307,825,307,825.0,307.0
45UD35GC_lower_right,801,319,803,322,803.0,322.0
01F6WV5D_lower_right,744,351,742,351,742.0,351.0
7DRMXZ3A_lower_right,827,319,830,324,830.0,324.0
01G1AKV2_lower_left,818,384,816,385,816.0,385.0
0TMOBYXS_upper_left,745,266,744,264,744.0,264.0
H8RSX6T2_lower_left,823,343,816,343,826.0,344.0
01A6H4PZ_lower_right,758,273,751,273,766.0,274.0
BNQ3Q4G3_lower_right,780,421,777,422,777.0,422.0
50O9GUWT_lower_right,777,296,774,294,775.0,294.0
H8RSX6T2_lower_right,820,343,819,344,819.0,344.0
01MAVHYZ_lower_right,782,357,784,362,784.0,362.0
015RM178_lower_left,832,337,836,333,836.0,333.0
015RM178_upper_left,775,301,774,303,774.0,303.0
8SLVB1AH_lower_left,795,380,794,382,794.0,382.0
6TZ254SP_lower_left,818,359,821,363,821.0,363.0
017UYAW4_lower_left,798,341,803,338,803.0,338.0
01K3G866_upper_left,716,305,716,306,716.0,306.0
E4GH1D3S_lower_right,854,415,853,414,853.0,414.0
01F6WV5D_upper_left,679,225,679,222,679.0,222.0
01G1AKV2_upper_left,827,286,827,289,827.0,289.0
01MAVHYZ_upper_left,820,309,822,311,822.0,311.0
019P6PZD_upper_right,791,261,796,258,796.0,258.0
AYSCFCO8_lower_left,827,357,830,359,830.0,359.0
0169NHT6_lower_right,853,348,850,348,850.0,348.0
01HMZ9RN_lower_left,784,346,783,346,783.0,346.0
C2SF98X5_lower_left,821,499,822,502,822.0,502.0
45UD35GC_upper_left,787,265,791,263,791.0,263.0
K9X2TVDE_lower_right,761,411,765,410,765.0,410.0
014WKP6A_lower_right,827,359,830,362,830.0,362.0
EB6DQGAR_upper_left,829,383,835,384,835.0,384.0
013FHA7K_lower_left,845,371,843,369,844.0,369.0
01CCUKV4_lower_left,868,373,869,372,869.0,372.0
019P6PZD_upper_left,793,264,796,262,796.0,262.0
01KRCSKD_upper_right,813,304,811,304,812.0,304.0
FKSYZ9LA_upper_left,812,269,811,267,811.0,267.0
01FGPDFR_lower_left,864,342,869,341,869.0,341.0
ANLLPLV7_upper_right,737,315,736,316,736.0,316.0
B7JSFJPG_lower_right,791,364,792,365,792.0,365.0
01F4JV8X_lower_right,778,324,778,327,778.0,327.0
K9X2TVDE_lower_left,772,410,771,409,771.0,409.0
019P6PZD_lower_right,826,346,828,347,828.0,347.0
6TZ254SP_upper_left,775,300,774,299,774.0,299.0
EB6DQGAR_upper_right,826,383,826,384,826.0,384.0
01JH0154_upper_right,812,298,810,296,810.0,296.0
BNQ3Q4G3_upper_right,776,378,776,379,776.0,379.0
3JCUF41E_lower_right,821,306,822,307,811.0,308.0
01F4JV8X_lower_left,776,330,775,329,775.0,329.0
014EZU5V_lower_left,821,343,822,344,822.0,344.0
0158T9ED_lower_left,825,350,826,350,826.0,350.0
01MAVHYZ_upper_right,822,311,820,313,820.0,313.0
BNQ3Q4G3_upper_left,809,372,809,373,809.0,373.0
01DXDP2R_lower_left,709,323,712,327,712.0,327.0
01J1XXHR_upper_right,782,296,784,295,784.0,295.0
0AAQ6BO3_lower_right,828,357,833,358,833.0,358.0
0171X5EV_upper_right,787,279,788,279,788.0,279.0
BNQ3Q4G3_lower_left,777,425,775,426,775.0,426.0
01F6WV5D_upper_right,679,224,679,221,679.0,221.0
9KDRM0A8_upper_left,744,304,742,303,742.0,303.0
5LP835GA_lower_right,778,374,779,376,779.0,376.0
6BWQC0CT_upper_right,764,274,766,275,766.0,275.0
01HJKFR8_lower_left,791,350,797,348,797.0,348.0
AYSCFCO8_lower_right,830,356,834,356,834.0,356.0
01J9RWK6_lower_right,840,375,840,375,840.0,375.0
01422MSK_upper_right,754,288,759,291,759.0,291.0
E4GH1D3S_upper_right,854,376,856,377,856.0,377.0
01FX95TX_upper_right,778,298,776,297,776.0,297.0
87N5YSES_lower_left,827,483,829,482,829.0,482.0
0171X5EV_lower_right,789,344,790,345,790.0,345.0
01A6H4PZ_upper_right,816,300,815,298,815.0,298.0
KS0FGXGB_lower_left,748,430,749,434,749.0,434.0
9KDRM0A8_upper_right,739,297,737,295,737.0,295.0
8SLVB1AH_lower_right,798,380,801,382,802.0,382.0
DEBDX44O_lower_left,821,508,815,503,806.0,505.0
J1A5FRQN_lower_right,804,444,805,443,805.0,443.0
LGADV15G_upper_right,786,264,788,262,788.0,262.0
0OF8OOCX_upper_right,781,225,779,225,779.0,225.0
K9X2TVDE_upper_left,803,383,805,385,805.0,385.0
3JCUF41E_upper_left,757,284,759,284,759.0,284.0
ANLLPLV7_lower_right,756,328,760,329,760.0,329.0
014WKP6A_upper_right,784,280,785,284,785.0,284.0
015KFJV6_upper_left,796,298,798,298,798.0,298.0
01HJKFR8_upper_right,799,311,801,313,801.0,313.0
0145NKWZ_lower_right,850,351,849,351,849.0,351.0
014EZU5V_lower_right,818,343,820,344,820.0,344.0
01HJKFR8_lower_right,796,348,801,348,801.0,348.0
KS0FGXGB_upper_right,816,356,816,358,816.0,358.0
7IGA0W6E_upper_left,790,305,787,300,776.0,299.0
B7JSFJPG_lower_left,790,361,783,363,791.0,365.0
87N5YSES_upper_right,840,376,836,377,836.0,377.0
7DRMXZ3A_upper_left,791,292,794,293,794.0,293.0
IHKL3Y8N_lower_right,778,374,777,376,777.0,376.0
0TMOBYXS_upper_right,743,265,740,264,740.0,264.0
0169NHT6_lower_left,849,347,849,349,849.0,349.0
6TZ254SP_upper_right,776,297,774,295,774.0,295.0
0OF8OOCX_upper_left,782,225,784,224,784.0,224.0
KBGVMAF7_upper_right,801,232,805,233,805.0,233.0
AEOQ4Q9Q_lower_right,798,314,791,311,805.0,321.0
01CCUKV4_upper_left,796,284,798,287,798.0,287.0
013TXGFK_upper_left,773,257,769,256,769.0,256.0
01MAVHYZ_lower_left,781,357,780,361,780.0,361.0
015DXGZH_upper_left,727,263,731,260,731.0,260.0
01JZF0KX_upper_left,741,295,740,293,740.0,293.0
56R9FBMK_upper_left,830,269,832,270,833.0,270.0
E552BK9X_upper_left,816,237,814,238,814.0,238.0
6TZ254SP_lower_right,820,359,821,363,821.0,363.0
0148VUFR_upper_left,775,279,770,283,770.0,283.0
01F4JV8X_upper_left,789,269,788,267,788.0,267.0
013TXGFK_lower_right,823,357,824,360,824.0,360.0
01FAYE3T_lower_left,755,360,758,362,758.0,362.0
015SUFFX_lower_left,800,338,799,334,799.0,334.0
7IGA0W6E_lower_right,818,360,818,363,818.0,363.0
H8RSX6T2_upper_left,754,283,760,282,760.0,282.0
GNR6QR3P_upper_right,776,291,777,293,777.0,293.0
013ZD6EX_upper_left,722,305,721,307,721.0,307.0
1419YTY4_upper_right,817,371,816,370,816.0,370.0
8SLVB1AH_upper_left,773,268,775,267,775.0,267.0
013NUWYR_upper_right,827,270,829,272,829.0,272.0
013TXGFK_upper_right,757,250,760,252,760.0,252.0
01E5XG8Z_upper_left,785,283,786,285,786.0,285.0
0191WKPV_upper_left,776,304,778,303,778.0,303.0
J1A5FRQN_upper_right,817,377,813,377,813.0,377.0
0148VUFR_lower_left,781,339,778,336,778.0,336.0
KBGVMAF7_lower_right,828,341,822,340,831.0,340.0
019P6PZD_lower_left,830,353,834,352,834.0,352.0
01G1AKV2_upper_right,827,286,827,289,827.0,289.0
01JH0154_lower_left,827,315,829,318,829.0,318.0
015SUFFX_upper_right,753,287,755,291,755.0,291.0
HZH8DYC7_upper_right,871,372,875,371,875.0,371.0
015DUP26_lower_left,737,353,738,356,738.0,356.0
01FGPDFR_lower_right,860,343,862,342,862.0,342.0
01J9RWK6_lower_left,824,376,827,374,827.0,374.0
014ZTUSK_upper_right,764,247,767,251,767.0,251.0
H8RSX6T2_upper_right,769,285,768,287,768.0,287.0
AYSCFCO8_upper_left,796,269,799,267,799.0,267.0
C2SF98X5_lower_right,812,497,811,496,811.0,496.0
015WW8D6_lower_left,782,378,786,379,786.0,379.0
01FURZ62_upper_left,775,298,771,296,771.0,296.0
BC0OWLNW_upper_right,885,359,883,362,883.0,362.0
7DRMXZ3A_upper_right,775,284,769,287,769.0,287.0
01DXDP2R_upper_left,718,273,722,274,722.0,274.0
01K3G866_lower_left,763,338,756,338,767.0,338.0
01K3G866_lower_right,775,338,774,337,774.0,337.0
5LP835GA_lower_left,763,376,769,376,769.0,376.0
ANLLPLV7_lower_left,756,324,761,328,761.0,328.0
013FHA7K_lower_right,842,371,842,369,842.0,369.0
014ZTUSK_upper_left,754,251,756,255,757.0,255.0
FKSYZ9LA_lower_left,830,320,837,326,837.0,326.0
LGADV15G_upper_left,785,263,786,261,786.0,261.0
01G1GYUF_lower_left,776,353,773,356,773.0,356.0
01422MSK_lower_right,753,312,753,313,754.0,313.0
015WXFRN_lower_left,821,343,822,344,839.0,361.0
87N5YSES_lower_right,821,483,819,482,819.0,482.0
01J1XXHR_lower_left,772,320,772,325,772.0,325.0
015DXGZH_lower_left,775,305,772,306,772.0,306.0
MNIAB8K3_lower_right,800,337,803,332,803.0,332.0
CBSF6Q84_upper_right,752,316,752,316,753.0,324.0
013ZD6EX_lower_left,732,321,732,325,732.0,325.0
013NUWYR_lower_left,826,241,828,243,828.0,243.0
ASUXPX7O_lower_right,749,337,750,336,750.0,336.0
015RM178_lower_right,828,337,829,333,829.0,333.0
FKSYZ9LA_lower_right,826,317,830,323,830.0,323.0
E552BK9X_lower_right,750,301,750,298,750.0,299.0
016XWJ8X_lower_left,793,339,798,335,809.0,342.0
01A6H4PZ_lower_left,794,279,792,281,803.0,281.0
AEOQ4Q9Q_lower_left,800,316,803,320,803.0,320.0
0AAQ6BO3_lower_left,826,353,826,355,826.0,355.0
50O9GUWT_upper_left,807,248,808,252,808.0,252.0
LGADV15G_lower_left,792,351,797,350,797.0,350.0
01FX95TX_upper_left,781,297,779,297,779.0,297.0
HZH8DYC7_upper_left,873,373,877,371,877.0,371.0
015RM178_upper_right,787,306,790,307,790.0,307.0
014ZTUSK_lower_right,816,351,815,351,815.0,351.0
MNIAB8K3_upper_left,805,269,809,266,809.0,266.0
015DUP26_lower_right,736,355,736,356,736.0,356.0
013ZD6EX_lower_right,729,320,730,322,730.0,322.0
013NUWYR_upper_left,828,270,830,271,845.0,280.0
01JZF0KX_lower_left,789,339,792,335,792.0,335.0
E4GH1D3S_upper_left,849,376,853,377,853.0,377.0
IHKL3Y8N_upper_right,755,307,757,308,757.0,308.0
LA67YYVJ_upper_left,849,352,848,354,848.0,354.0
015WXFRN_lower_right,821,343,822,344,822.0,344.0
MNIAB8K3_upper_right,777,261,773,259,773.0,259.0
0191WKPV_lower_left,760,320,766,325,766.0,325.0
01F6WV5D_lower_left,744,352,746,355,746.0,355.0
01G1GYUF_upper_right,776,314,775,316,775.0,316.0
6BWQC0CT_lower_right,799,309,802,310,802.0,310.0
ameziani_upper_right,849,352,845,352,845.0,352.0
CBSF6Q84_lower_left,755,315,757,318,757.0,318.0
E4GH1D3S_lower_left,854,415,854,414,854.0,414.0
C2SF98X5_upper_left,855,376,857,376,857.0,376.0
0171X5EV_upper_left,790,279,793,281,793.0,281.0
015WW8D6_upper_right,716,252,718,255,718.0,255.0
4J24X0ES_upper_right,826,389,826,395,826.0,395.0
0148VUFR_upper_right,775,283,772,286,772.0,286.0
4J24X0ES_upper_left,823,389,826,396,826.0,396.0
0191WKPV_upper_right,771,301,770,301,770.0,301.0
